Treatment,Sc,Hm,Bb,Total,Alive,Block
1,100,0,0,100,6,1
2,100,0,0,100,6,1
3,100,0,0,100,9,1
4,400,0,0,400,7,1
5,400,0,0,400,7,1
6,400,0,0,400,7,1
7,1000,0,0,1000,6,1
8,1000,0,0,1000,6,1
9,1000,0,0,1000,6,1
10,4000,0,0,4000,3,1
11,4000,0,0,4000,4,1
12,4000,0,0,4000,5,1
13,10000,0,0,10000,3,1
14,10000,0,0,10000,2,1
15,10000,0,0,10000,3,1
16,0,100,0,100,8,1
17,0,100,0,100,5,1
18,0,100,0,100,5,1
19,0,400,0,400,6,1
20,0,400,0,400,7,1
21,0,400,0,400,8,1
22,0,1000,0,1000,4,1
23,0,1000,0,1000,4,1
24,0,1000,0,1000,4,1
25,0,4000,0,4000,4,1
26,0,4000,0,4000,4,1
27,0,4000,0,4000,3,1
28,0,10000,0,10000,3,1
29,0,10000,0,10000,3,1
30,0,10000,0,10000,4,1
31,0,0,100,100,8,1
32,0,0,100,100,8,1
33,0,0,100,100,7,1
34,0,0,400,400,5,1
35,0,0,400,400,8,1
36,0,0,400,400,4,1
37,0,0,1000,1000,4,1
38,0,0,1000,1000,5,1
39,0,0,1000,1000,5,1
40,0,0,4000,4000,7,1
41,0,0,4000,4000,3,1
42,0,0,4000,4000,2,1
43,0,0,10000,10000,3,1
44,0,0,10000,10000,5,1
45,0,0,10000,10000,3,1
46,5,5,90,100,7,1
47,5,5,90,100,9,1
48,5,5,90,100,7,1
49,5,90,5,100,7,1
50,5,90,5,100,7,1
51,5,90,5,100,6,1
52,90,5,5,100,8,1
53,90,5,5,100,8,1
54,90,5,5,100,5,1
55,20,20,360,400,5,1
56,20,20,360,400,6,1
57,20,20,360,400,8,1
58,20,360,20,400,6,1
59,20,360,20,400,6,1
60,20,360,20,400,4,1
61,360,20,20,400,6,1
62,360,20,20,400,8,1
63,360,20,20,400,7,1
64,50,50,900,1000,9,1
65,50,50,900,1000,8,1
66,50,50,900,1000,7,1
67,50,900,50,1000,6,1
68,50,900,50,1000,5,1
69,50,900,50,1000,5,1
70,900,50,50,1000,6,1
71,900,50,50,1000,4,1
72,900,50,50,1000,2,1
73,200,200,3600,4000,4,1
74,200,200,3600,4000,6,1
75,200,200,3600,4000,4,1
76,200,3600,200,4000,1,1
77,200,3600,200,4000,2,1
78,200,3600,200,4000,6,1
79,3600,200,200,4000,3,1
80,3600,200,200,4000,2,1
81,3600,200,200,4000,3,1
82,500,500,9000,10000,4,1
83,500,500,9000,10000,3,1
84,500,500,9000,10000,4,1
85,500,9000,500,10000,0,1
86,500,9000,500,10000,3,1
87,500,9000,500,10000,3,1
88,9000,500,500,10000,1,1
89,9000,500,500,10000,2,1
90,9000,500,500,10000,0,1
91,20,20,60,100,7,1
92,20,20,60,100,4,1
93,20,20,60,100,5,1
94,20,60,20,100,6,1
95,20,60,20,100,5,1
96,20,60,20,100,8,1
97,60,20,20,100,6,1
98,60,20,20,100,5,1
99,60,20,20,100,2,1
100,80,80,240,400,8,1
101,80,80,240,400,5,1
102,80,80,240,400,5,1
103,80,240,80,400,6,1
104,80,240,80,400,7,1
105,80,240,80,400,6,1
106,240,80,80,400,7,1
107,240,80,80,400,8,1
108,240,80,80,400,6,1
109,200,200,600,1000,4,1
110,200,200,600,1000,6,1
111,200,200,600,1000,3,1
112,200,600,200,1000,5,1
113,200,600,200,1000,7,1
114,200,600,200,1000,2,1
115,600,200,200,1000,5,1
116,600,200,200,1000,5,1
117,600,200,200,1000,6,1
118,800,800,2400,4000,2,1
119,800,800,2400,4000,4,1
120,800,800,2400,4000,3,1
121,800,2400,800,4000,2,1
122,800,2400,800,4000,3,1
123,800,2400,800,4000,5,1
124,2400,800,800,4000,4,1
125,2400,800,800,4000,2,1
126,2400,800,800,4000,4,1
127,2000,2000,6000,10000,1,1
128,2000,2000,6000,10000,2,1
129,2000,2000,6000,10000,0,1
130,2000,6000,2000,10000,1,1
131,2000,6000,2000,10000,1,1
132,2000,6000,2000,10000,0,1
133,6000,2000,2000,10000,0,1
134,6000,2000,2000,10000,0,1
135,6000,2000,2000,10000,1,1
136,33,33,33,100,7,1
137,33,33,33,100,4,1
138,33,33,33,100,8,1
139,33,33,33,100,4,1
140,33,33,33,100,7,1
141,33,33,33,100,4,1
142,133,133,133,400,2,1
143,133,133,133,400,7,1
144,133,133,133,400,5,1
145,133,133,133,400,3,1
146,133,133,133,400,4,1
147,133,133,133,400,5,1
148,333,333,333,1000,0,1
149,333,333,333,1000,4,1
150,333,333,333,1000,4,1
151,333,333,333,1000,4,1
152,333,333,333,1000,5,1
153,333,333,333,1000,1,1
154,1333,1333,1333,4000,0,1
155,1333,1333,1333,4000,0,1
156,1333,1333,1333,4000,0,1
157,1333,1333,1333,4000,0,1
158,1333,1333,1333,4000,5,1
159,1333,1333,1333,4000,2,1
160,3333,3333,3333,10000,0,1
161,3333,3333,3333,10000,0,1
162,3333,3333,3333,10000,0,1
163,3333,3333,3333,10000,0,1
164,3333,3333,3333,10000,0,1
165,3333,3333,3333,10000,1,1
166,0,0,0,0,10,1
167,0,0,0,0,7,1
168,0,0,0,0,9,1
169,0,0,0,0,6,1
170,0,0,0,0,6,1
1,100,0,0,100,6,2
2,100,0,0,100,9,2
3,100,0,0,100,10,2
4,400,0,0,400,7,2
5,400,0,0,400,7,2
6,400,0,0,400,7,2
7,1000,0,0,1000,6,2
8,1000,0,0,1000,6,2
9,1000,0,0,1000,7,2
10,4000,0,0,4000,3,2
11,4000,0,0,4000,5,2
12,4000,0,0,4000,2,2
13,10000,0,0,10000,3,2
14,10000,0,0,10000,2,2
15,10000,0,0,10000,3,2
16,0,100,0,100,8,2
17,0,100,0,100,5,2
18,0,100,0,100,10,2
19,0,400,0,400,8,2
20,0,400,0,400,9,2
21,0,400,0,400,8,2
22,0,1000,0,1000,4,2
23,0,1000,0,1000,10,2
24,0,1000,0,1000,10,2
25,0,4000,0,4000,4,2
26,0,4000,0,4000,3,2
27,0,4000,0,4000,6,2
28,0,10000,0,10000,3,2
29,0,10000,0,10000,4,2
30,0,10000,0,10000,4,2
31,0,0,100,100,8,2
32,0,0,100,100,8,2
33,0,0,100,100,10,2
34,0,0,400,400,4,2
35,0,0,400,400,10,2
36,0,0,400,400,9,2
37,0,0,1000,1000,5,2
38,0,0,1000,1000,5,2
39,0,0,1000,1000,8,2
40,0,0,4000,4000,3,2
41,0,0,4000,4000,2,2
42,0,0,4000,4000,7,2
43,0,0,10000,10000,5,2
44,0,0,10000,10000,3,2
45,0,0,10000,10000,4,2
46,5,5,90,100,7,2
47,5,5,90,100,8,2
48,5,5,90,100,9,2
49,5,90,5,100,7,2
50,5,90,5,100,7,2
51,5,90,5,100,10,2
52,90,5,5,100,7,2
53,90,5,5,100,8,2
54,90,5,5,100,8,2
55,20,20,360,400,5,2
56,20,20,360,400,6,2
57,20,20,360,400,8,2
58,20,360,20,400,6,2
59,20,360,20,400,6,2
60,20,360,20,400,10,2
61,360,20,20,400,7,2
62,360,20,20,400,8,2
63,360,20,20,400,9,2
64,50,50,900,1000,5,2
65,50,50,900,1000,8,2
66,50,50,900,1000,9,2
67,50,900,50,1000,5,2
68,50,900,50,1000,5,2
69,50,900,50,1000,10,2
70,900,50,50,1000,2,2
71,900,50,50,1000,3,2
72,900,50,50,1000,6,2
73,200,200,3600,4000,4,2
74,200,200,3600,4000,5,2
75,200,200,3600,4000,6,2
76,200,3600,200,4000,1,2
77,200,3600,200,4000,1,2
78,200,3600,200,4000,6,2
79,3600,200,200,4000,2,2
80,3600,200,200,4000,3,2
81,3600,200,200,4000,5,2
82,500,500,9000,10000,2,2
83,500,500,9000,10000,3,2
84,500,500,9000,10000,4,2
85,500,9000,500,10000,0,2
86,500,9000,500,10000,3,2
87,500,9000,500,10000,4,2
88,9000,500,500,10000,0,2
89,9000,500,500,10000,2,2
90,9000,500,500,10000,9,2
91,20,20,60,100,7,2
92,20,20,60,100,4,2
93,20,20,60,100,10,2
94,20,60,20,100,5,2
95,20,60,20,100,8,2
96,20,60,20,100,8,2
97,60,20,20,100,6,2
98,60,20,20,100,5,2
99,60,20,20,100,2,2
100,80,80,240,400,5,2
101,80,80,240,400,6,2
102,80,80,240,400,7,2
103,80,240,80,400,6,2
104,80,240,80,400,6,2
105,80,240,80,400,6,2
106,240,80,80,400,7,2
107,240,80,80,400,8,2
108,240,80,80,400,9,2
109,200,200,600,1000,6,2
110,200,200,600,1000,8,2
111,200,200,600,1000,9,2
112,200,600,200,1000,7,2
113,200,600,200,1000,2,2
114,200,600,200,1000,5,2
115,600,200,200,1000,5,2
116,600,200,200,1000,10,2
117,600,200,200,1000,8,2
118,800,800,2400,4000,2,2
119,800,800,2400,4000,4,2
120,800,800,2400,4000,7,2
121,800,2400,800,4000,2,2
122,800,2400,800,4000,5,2
123,800,2400,800,4000,1,2
124,2400,800,800,4000,4,2
125,2400,800,800,4000,2,2
126,2400,800,800,4000,4,2
127,2000,2000,6000,10000,2,2
128,2000,2000,6000,10000,0,2
129,2000,2000,6000,10000,2,2
130,2000,6000,2000,10000,1,2
131,2000,6000,2000,10000,0,2
132,2000,6000,2000,10000,0,2
133,6000,2000,2000,10000,1,2
134,6000,2000,2000,10000,3,2
135,6000,2000,2000,10000,1,2
136,33,33,33,100,6,2
137,33,33,33,100,9,2
138,33,33,33,100,7,2
139,33,33,33,100,4,2
140,33,33,33,100,7,2
141,33,33,33,100,4,2
142,133,133,133,400,8,2
143,133,133,133,400,9,2
144,133,133,133,400,7,2
145,133,133,133,400,7,2
146,133,133,133,400,5,2
147,133,133,133,400,5,2
148,333,333,333,1000,5,2
149,333,333,333,1000,5,2
150,333,333,333,1000,0,2
151,333,333,333,1000,4,2
152,333,333,333,1000,4,2
153,333,333,333,1000,5,2
154,1333,1333,1333,4000,2,2
155,1333,1333,1333,4000,6,2
156,1333,1333,1333,4000,0,2
157,1333,1333,1333,4000,0,2
158,1333,1333,1333,4000,5,2
159,1333,1333,1333,4000,2,2
160,3333,3333,3333,10000,1,2
161,3333,3333,3333,10000,3,2
162,3333,3333,3333,10000,0,2
163,3333,3333,3333,10000,0,2
164,3333,3333,3333,10000,0,2
165,3333,3333,3333,10000,0,2
166,0,0,0,0,10,2
167,0,0,0,0,9,2
168,0,0,0,0,9,2
169,0,0,0,0,8,2
170,0,0,0,0,7,2
1,100,0,0,100,10,3
2,100,0,0,100,8,3
3,400,0,0,400,10,3
4,400,0,0,400,10,3
5,1000,0,0,1000,7,3
6,1000,0,0,1000,3,3
7,4000,0,0,4000,9,3
8,4000,0,0,4000,2,3
9,10000,0,0,10000,5,3
10,10000,0,0,10000,5,3
11,0,100,0,100,9,3
12,0,100,0,100,10,3
13,0,400,0,400,9,3
14,0,400,0,400,8,3
15,0,1000,0,1000,10,3
16,0,1000,0,1000,10,3
17,0,4000,0,4000,4,3
18,0,4000,0,4000,6,3
19,0,10000,0,10000,4,3
20,0,10000,0,10000,4,3
21,0,0,100,100,8,3
22,0,0,100,100,10,3
23,0,0,400,400,10,3
24,0,0,400,400,9,3
25,0,0,1000,1000,7,3
26,0,0,1000,1000,8,3
27,0,0,4000,4000,6,3
28,0,0,4000,4000,7,3
29,0,0,10000,10000,6,3
30,0,0,10000,10000,4,3
31,5,5,90,100,8,3
32,5,5,90,100,9,3
33,5,90,5,100,10,3
34,5,90,5,100,10,3
35,90,5,5,100,8,3
36,90,5,5,100,7,3
37,20,20,360,400,10,3
38,20,20,360,400,7,3
39,20,360,20,400,5,3
40,20,360,20,400,10,3
41,360,20,20,400,9,3
42,360,20,20,400,8,3
43,50,50,900,1000,5,3
44,50,50,900,1000,9,3
45,50,900,50,1000,10,3
46,50,900,50,1000,5,3
47,900,50,50,1000,3,3
48,900,50,50,1000,6,3
49,200,200,3600,4000,5,3
50,200,200,3600,4000,9,3
51,200,3600,200,4000,1,3
52,200,3600,200,4000,2,3
53,3600,200,200,4000,5,3
54,3600,200,200,4000,2,3
55,500,500,9000,10000,2,3
56,500,500,9000,10000,4,3
57,500,9000,500,10000,4,3
58,500,9000,500,10000,1,3
59,9000,500,500,10000,9,3
60,9000,500,500,10000,5,3
61,20,20,60,100,10,3
62,20,20,60,100,10,3
63,20,60,20,100,8,3
64,20,60,20,100,8,3
65,60,20,20,100,9,3
66,60,20,20,100,9,3
67,80,80,240,400,6,3
68,80,80,240,400,7,3
69,80,240,80,400,7,3
70,80,240,80,400,6,3
71,240,80,80,400,10,3
72,240,80,80,400,9,3
73,200,200,600,1000,8,3
74,200,200,600,1000,9,3
75,200,600,200,1000,7,3
76,200,600,200,1000,5,3
77,600,200,200,1000,10,3
78,600,200,200,1000,8,3
79,800,800,2400,4000,6,3
80,800,800,2400,4000,7,3
81,800,2400,800,4000,1,3
82,800,2400,800,4000,5,3
83,2400,800,800,4000,9,3
84,2400,800,800,4000,5,3
85,2000,2000,6000,10000,2,3
86,2000,2000,6000,10000,4,3
87,2000,6000,2000,10000,0,3
88,2000,6000,2000,10000,1,3
89,6000,2000,2000,10000,3,3
90,6000,2000,2000,10000,1,3
91,33,33,33,99,9,3
92,33,33,33,99,6,3
93,33,33,33,99,9,3
94,33,33,33,99,10,3
95,133,133,133,399,10,3
96,133,133,133,399,8,3
97,133,133,133,399,9,3
98,133,133,133,399,7,3
99,333,333,333,999,4,3
100,333,333,333,999,5,3
101,333,333,333,999,6,3
102,333,333,333,999,5,3
103,1333,1333,1333,3999,0,3
104,1333,1333,1333,3999,2,3
105,1333,1333,1333,3999,2,3
106,1333,1333,1333,3999,6,3
107,3333,3333,3333,9999,1,3
108,3333,3333,3333,9999,1,3
109,3333,3333,3333,9999,1,3
110,3333,3333,3333,9999,3,3
111,0,0,0,0,10,3
112,0,0,0,0,9,3
113,0,0,0,0,9,3
114,0,0,0,0,10,3
115,0,0,0,0,8,3
